Athlete	CountryCode	Sport	Medals
gregory burgess	USA	Swimming	1
gregory fasala, michael delany, neil brooks, mark stockwell	AUS	Swimming	1
gregory rogers, robert windle, graham white, michael wenden	AUS	Swimming	1
greta andersen	DEN	Swimming	1
greta andersen, fritze carstensen-nathansen, karen harup, eva riise-arndt	DEN	Swimming	1
grete waitz	NOR	Athletics	1
grigore obreja, gheorghe andriev	ROM	Canoeing	1
grzegorz kotowicz, dariusz bialkowski	POL	Canoeing	1
g?te hagstr?m	SWE	Athletics	1
guanliang meng, wenjun yang	CHN	Canoeing	1
gudrun beckmann, jutta weber, heidemarie reineck, angela steinbach	FRG	Swimming	1
gudrun wegner	GDR	Swimming	1
guillaume leblanc	CAN	Athletics	1
guillermo del riego, herminio men?ndez	ESP	Canoeing	1
guillermo douglas	URU	Rowing	1
gunhild hoffmeister	GDR	Athletics	3
gunnar h?ckert	FIN	Athletics	1
gunnar larsson	SWE	Swimming	2
gunnar olsson, karl sundqvist	SWE	Canoeing	1
gunnar utterberg, sven-olof sj?delius	SWE	Canoeing	1
gustav jansson	SWE	Athletics	1
gustavo fran?a borges	BRA	Swimming	3
gustavo fran?a borges, carlos jayme, fernando scherer, edvaldo silva filho	BRA	Swimming	1
gustav sch?fer	GER	Rowing	1
guy butler	GBR	Athletics	2
guy butler, edward toms, george renwick, richard ripley, cecil griffiths, robert lindsay, john ainsworth-davis, guy butler	GBR	Athletics	1
guy drut	FRA	Athletics	2
gwendoline porter, eileen hiscock, nellie halstead, violet webb	GBR	Athletics	1
gwen torrence	USA	Athletics	2
gwen torrence, carlette guidry, esther jones, evelyn ashford	USA	Athletics	1
gyorgy kozmann, gy?rgy kolonics	HUN	Canoeing	1
gy?rgy kolonics	HUN	Canoeing	1
gy?rgy mitr?	HUN	Swimming	1
gy?rgy mitr?, imre ny?ki, g?za k?das, elem?r szathm?ry	HUN	Swimming	1
gy?rgy m?sz?ros, andr?s szente	HUN	Canoeing	1
gy?rgy sarl?s, antal melis, zolt?n melis, j?zsef csermely	HUN	Rowing	1
gy?rgy tumpek	HUN	Swimming	1
gy?rgy zala	HUN	Canoeing	2
gyula kellner	HUN	Athletics	1
gyula petrikovics, tam?s wichmann	HUN	Canoeing	1
g?za csap?	HUN	Canoeing	2
g?za k?das	HUN	Swimming	1
habiba ghribi	TUN	Athletics	1
hadi souan somayli	KSA	Athletics	1
haile gebrselassie	ETH	Athletics	2
haley anderson	USA	Swimming	1
halimat ismaila, franca idoko, gloria kemasuode, oludamola osayomi, agnes osazuwa	NGR	Athletics	1
halina g?recka-richter, teresa ciepla, barbara janiszewska, celina jesionowska	POL	Athletics	1
hannelore anke	GDR	Swimming	1
hannes kolehmainen	FIN	Athletics	3
hanns braun	DEU	Athletics	2
hanny termeulen	NED	Swimming	1
hanny termeulen, koosje van voorn, marie-louise linssen-vaessen, irma heijting-schuhmacher	NED	Swimming	1
hans berglund, lennart klingstr?m	SWE	Canoeing	1
hans dam	DEN	Swimming	1
hans fa?nacht, werner lampe, hans-g?nter vosseler, klaus steinbach	FRG	Swimming	1
hans-georg reimann	GDR	Athletics	2
hans grodotzki	GER	Athletics	2
hans-joachim hannemann, heinz kaufmann, hans kuschke, herbert schmidt, werner loeckle, wilhelm mahlow, helmut radach, alfred rieck, gerd v?ls	GER	Rowing	1
hans-joachim klein	GER	Swimming	1
hans-joachim klein, horst l?ffler, frank wiegand	GER	Swimming	1
hansj?rg kunze	GDR	Athletics	1
hans kalt, josef kalt	SUI	Rowing	1
hans kalt, kurt schmid	SUI	Rowing	1
hansle parchment	JAM	Athletics	1
hans magnus grepperud, sverre l?ken	NOR	Rowing	1
hans maier, karl aletter, walter flinsch, ernst gaber	GER	Rowing	1
hanson, viinberg, guloien, wilkinson, mastracci, brzozowicz, marquardt, morin, thompson-willie	CAN	Rowing	1
hans sennewald, thorsten streppelhoff, bahne rabe, frank richter, detlef kirchhoff, manfred klein, armin eichholz, roland baar, ansgar wessling	GER	Rowing	1
hans walter, emile albrecht, alfred probst, eugen sigg-b?chthold	SUI	Rowing	1
harald julin	SWE	Swimming	1
harald norpoth	GER	Athletics	1
harald schmid	FRG	Athletics	1
harald schmid, lothar krieg, bernd herrmann, franz-peter hofmeister	FRG	Athletics	1
harold abrahams	GBR	Athletics	1
harold barker, john fenning, philip filleul, gordon thomson, albertus wielsma, geoffrey taylor, hermanus h?fte, charles riddy, becher robert gale, bernardus croon, gordon balfour, johan burk	NED	Rowing	1
harold barron	USA	Athletics	1
harold hardwick	ANZ	Swimming	2
harold west, arthur sulley, guy nickalls, gordon killick, harold lane, jack beresford, john badcock, donald gollan, james hamilton	GBR	Rowing	1
harold whitlock	GBR	Athletics	1
harold wilson	GBR	Athletics	1
harrison dillard	USA	Athletics	2
harrison dillard, barney ewell, melvin patton, lorenzo wright	USA	Athletics	1
harrison dillard, lindy remigino, andy stanfield, dean smith	USA	Athletics	1
harry blackstaffe	GBR	Rowing	1
harry davel, bevil rudd, clarence oldfield, jack oosterlaak	SAF	Athletics	1
harry edward	GBR	Athletics	2
harry hebner	USA	Swimming	1
harry hebner, ken huszagh, perry mcgillivray, duke kahanamoku	USA	Swimming	1
harry hillman	USA	Athletics	3
harry jerome	CAN	Athletics	1
harry larva	FIN	Athletics	1
harry lott, frank schell, louis abell, michael gleason, john exley, james flanagan, frederick cresser, joseph dempsey, charles armstrong	USA	Rowing	1
hartwig gauder	GDR	Athletics	2
harvey glance, millard hampton, john jones, steven riddick	USA	Athletics	1
hasely crawford	TRI	Athletics	1
hasna benhassi	MAR	Athletics	2
hassiba boulmerka	ALG	Athletics	1
hayden stoeckel	AUS	Swimming	1
hayes jones	USA	Athletics	2
hayley lewis	AUS	Swimming	2
heather armitage, june foulds-paul, anne pashley, jean scrivens	GBR	Athletics	1
heather hunte, sonia lannaman, beverley goddard-callender, kathryn smallwood-cook	GBR	Athletics	1
heather stanning, helen glover	GBR	Rowing	1
hec hogan	AUS	Athletics	1
heidemarie reineck, silke pielen, gudrun beckmann, vreni eberle	FRG	Swimming	1
heidemarie reineck, uta frommater, angelika kraus, heike hustede	FRG	Swimming	1
heide rosendahl, annegret richter, christiane krause, ingrid mickler-becker	FRG	Athletics	1
heike d?hne	GDR	Swimming	1
heike drechsler	GDR	Athletics	2
heike friedrich	GDR	Swimming	2
heike schulte-mattler, ute thimm, heide-elke gaugel, gaby bu?mann	FRG	Athletics	1
heini thoma, rudolf bosshard	SUI	Rowing	1
heinz b?ker, holger zander	GER	Canoeing	1
heinz ulzheimer	GER	Athletics	1
heinz ulzheimer, g?nther steines, hans geister, karl-friedrich haas	GER	Athletics	1
helene madison	USA	Swimming	2
helen gordon	GBR	Swimming	1
helen johns, eleanor garatti-saville, helene madison, josephine mckim	USA	Swimming	1
helen stephens	USA	Athletics	1
helen stephens, annette rogers, elizabeth robinson, harriet bland	USA	Athletics	1
helen varcoe, edna hughes, joyce cooper, elizabeth davies	GBR	Swimming	1
helen wainwright	USA	Swimming	1
helga klein, ursula knab, marie sander, marga petersen	GER	Athletics	1
helga lindner	GDR	Swimming	1
helge halkj?r, aksel hansen, ib storm larsen, helge schr?der	DEN	Rowing	1
helmut c?mmerer	GER	Canoeing	1
helmuth k?rnig	GER	Athletics	1
henk-jan zwolle, nico rienks	NED	Rowing	1
henning jakobsen	DEN	Canoeing	2
henri barrelet	FRA	Rowing	1
henri deloge	FRA	Athletics	1
henri eberhardt	FRA	Canoeing	1
henri jan wienese	NED	Rowing	1
henrik nilsson, markus oscarsson	SWE	Canoeing	2
henri tauzin	FRA	Athletics	1
henry carr	USA	Athletics	1
henry eriksson	SWE	Athletics	1
henry jonsson	SWE	Athletics	1
henry stallard	GBR	Athletics	1
henry taylor	GBR	Swimming	4
henry taylor, edward peter, harold annison, leslie savage	GBR	Swimming	1
herb elliott	AUS	Athletics	1
herbert haresnape	GBR	Swimming	1
herbert jamison	USA	Athletics	1
herbert klein	GER	Swimming	1
herbert schade	GER	Athletics	1
herb mckenley	JAM	Athletics	3
herman frazier	USA	Athletics	1
herman groman	USA	Athletics	1
hermann betschart, hans homberger, alex homberger, karl schmid	SUI	Rowing	1
hermann engelhard	GER	Athletics	1
hermann engelhard, otto neumann, richard krebs, harry storz	GER	Athletics	1
hermine stindt, louise otto, grete rosenberg, vally dressel	DEU	Swimming	1
herminio men?ndez, luis miguez	ESP	Canoeing	1
hezekiah nyamau, daniel rudisha, charles asati, naftali bon	KEN	Athletics	1
hezekiel sepeng	RSA	Athletics	1
hicham el guerrouj	MAR	Athletics	3
hideko maehata	JPN	Swimming	2
hilda strike	CAN	Athletics	1
hilda strike, mary frizzel, mildred frizzel, lillian palmer	CAN	Athletics	1
hildegard falck	FRG	Athletics	1
hilde lauer	ROM	Canoeing	1
hilde schrader	GER	Swimming	1
hiroshi suzuki	JPN	Swimming	1
hisayoshi sato, junichi miyashita, kosuke kitajima, takuro fujii	JPN	Swimming	1
h?kan malmroth	SWE	Swimming	1
hong qian	CHN	Swimming	2
horace ashenfelter	USA	Athletics	1
horacio podest?, julio curatella	ARG	Rowing	1
horatio fitch	USA	Athletics	1
horst-g?nter gregor, eugen henninger, hans-joachim klein, ernst-joachim k?ppers	GER	Swimming	1
howard valentine	USA	Athletics	1
huali lu, xiaoli gu	CHN	Rowing	1
hugh edwards, jack beresford, john badcock, roland george	GBR	Rowing	1
hugh fisher, alwyn morris	CAN	Canoeing	1
hugo kusick	EST	Rowing	1
hugo strau?, willi eichhorn	GER	Rowing	1
hugues duboscq	FRA	Swimming	3
huina xing	CHN	Athletics	1
ian crocker	USA	Swimming	1
ian crocker, brendan hansen, mark gangloff, jason lezak, lenny krayzelburg, aaron peirsol, michael phelps, neil walker	USA	Swimming	1
ian ferguson	NZL	Canoeing	1
ian ferguson, grant bramwell, paul macdonald, alan thompson	NZL	Canoeing	1
ian ferguson, paul macdonald	NZL	Canoeing	2
ian o'brien	AUS	Swimming	1
ian o'brien, david dickson, kevin berry, peter reynolds	AUS	Swimming	1
ian stewart	GBR	Athletics	1
ian thorpe	AUS	Swimming	5
ian thorpe, todd pearson, daniel kowalski, michael klim, william kirby, grant hackett	AUS	Swimming	1
ian wynne	GBR	Canoeing	1
ib ivan larsen, peter christiansen	DEN	Rowing	1
ibrahim rojas, ledys frank balceiro	CUB	Canoeing	1
igor buldakov, viktor ivanov	URS	Rowing	1
igor francetic, tihomir frankovic, igor boraska, kresimir culjak, branimir vujevic, niksa skelin, sinisa skelin, tomislav smoljanovic, silvijo petrisko	CRO	Rowing	1
igor pisarev	URS	Canoeing	1
igor polyansky	URS	Swimming	2
igor yemchuk, georgy zhilin	URS	Rowing	1
ileana silai	ROM	Athletics	1
ilmari salminen	FIN	Athletics	1
ilse kaschube, petra grabowski	GDR	Canoeing	1
ilya markov	RUS	Athletics	1
imre farkas, andr?s istv?n t?r?	HUN	Canoeing	1
imre pulai	HUN	Canoeing	1
imre sz?ll?si	HUN	Canoeing	1
imre sz?ll?si, csaba giczi, istv?n csizmadia, istv?n tim?r	HUN	Canoeing	1
ina beyermann	FRG	Swimming	1
ina beyermann, ute hasse, karin seick, svenja schlicht	FRG	Swimming	1
ina kleber	GDR	Swimming	1
ines diers	GDR	Swimming	4
ines diers, sarina h?lsenbeck, barbara krause, caren metschuck	GDR	Swimming	1
ines gei?ler	GDR	Swimming	1
inga gentzel	SWE	Athletics	1
inge de bruijn	NED	Swimming	6
inge dekker, femke heemskerk, ranomi kromowidjojo, manon van rooijen, marleen veldhuis, hinkelien schreuder	NED	Swimming	1
inge dekker, marleen veldhuis, femke heemskerk, ranomi kromowidjojo	NED	Swimming	1
inge helten	FRG	Athletics	1
inge helten, annegret kroninger, annegret richter, elvira po?ekel	FRG	Athletics	1
inge s?rensen	DEN	Swimming	1
ingo spelly, olaf heukrodt	GDR	Canoeing	1
ingo spelly, ulrich papke	GER	Canoeing	1
ingrid lange-auerswald	GDR	Athletics	1
ingrid lange-auerswald, marlies g?hr-oelsner, romy m?ller, b?rbel w?ckel-eckert	GDR	Athletics	1
ingrid lempereur	BEL	Swimming	1
ingrid schmidt, b?rbel fuhrmann, ursula brunner, ursula k?per	GER	Swimming	1
ingvar pettersson	SWE	Athletics	1
inna frolova, antonina dumcheva, irina kalimbet, svetlana mazy	URS	Rowing	1
inna frolova, olena ronzhina, diana miftakhutdinova, svetlana mazy	UKR	Rowing	1
inna osypenko	UKR	Canoeing	3
innocent egbunike, rotimi peters, moses ugbusie, sunday uti	NGR	Athletics	1
ion birladeanu	ROM	Canoeing	1
ionela tirlea-manolache	ROM	Athletics	1
ira davenport	USA	Athletics	1
irena szewinska	POL	Athletics	5
irene eijs, eeke van nes	NED	Rowing	1
irene guest	USA	Swimming	1
irina nazarova, tatyana prorochenko, tatyana goyshchik, nina zyuskova	URS	Athletics	1
irina privalova	RUS	Athletics	1
irina privalova	URS	Athletics	1
irnya lishchynska	UKR	Athletics	1
isabella ochichi	KEN	Athletics	1
ismail ahmedismail	SUD	Athletics	1
istv?n b?r?ny	HUN	Swimming	1
istv?n b?r?ny, l?szl? szabados, andr?s sz?kely, andr?s wani?	HUN	Swimming	1
istv?n hernek	HUN	Canoeing	1
istv?n jo?s, istv?n szab?	HUN	Canoeing	1
istv?n r?zsav?lgyi	HUN	Athletics	1
iuliia efimova	RUS	Swimming	1
ivan belyaev	URS	Athletics	1
ivan burchin, fedya damyanov	BUL	Canoeing	1
ivan garcia, jose angel cesar, luis alberto perez, freddy mayola	CUB	Athletics	1
ivano brugnetti	ITA	Athletics	1
ivan patzaichin	ROM	Canoeing	1
ivan patzaichin, petre capusta	ROM	Canoeing	1
ivan patzaichin, serghei covaliov	ROM	Canoeing	1
ivan patzaichin, toma simionov	ROM	Canoeing	3
ivan riley	USA	Athletics	1
ivan shtyl	RUS	Canoeing	1
ivans klementjevs	LAT	Canoeing	2
ivans klementjevs	URS	Canoeing	1
ivar stukolkin	URS	Swimming	1
ivar stukolkin, vladimir salnikov, andrey krylov, sergey koplyakov	URS	Swimming	1
ivo van damme	BEL	Athletics	2
ivo yanakiev	BUL	Rowing	1
izabella dylewska	POL	Canoeing	2
iztok cop, denis zvegelj	SLO	Rowing	1
iztok cop, luka spik	SLO	Rowing	3
jaap kraaier	NED	Canoeing	1
jack babashoff	USA	Swimming	1
jack beresford	GBR	Rowing	2
jack beresford, dick southwood	GBR	Rowing	1
jack davis	USA	Athletics	2
jack dearlove, chris barton, ernest bircher, maurice lapage, guy richardson, charles lloyd, paul massey, alfred mellows, david meyrick	GBR	Rowing	1
jack guest, joseph wright	CAN	Rowing	1
jack hand, john donnelly, frank fiddes, frederick hedges, jack murdock, athol meech, cyril norris, william ross, herbert richardson	CAN	Rowing	1
jack horsley	USA	Swimming	1
jack jarvis	GBR	Swimming	2
jack kelly	USA	Rowing	1
jack kelly, paul costello	USA	Rowing	2
jack london	GBR	Athletics	1
jack lovelock	NZL	Athletics	1
jack medica	USA	Swimming	2
jack pierce	USA	Athletics	1
jackson scholz	USA	Athletics	2
jack taylor	USA	Swimming	1
jacob clear, david smith, tate smith, murray stewart	AUS	Canoeing	1
jacob jensen, ejvind hansen	DEN	Canoeing	1
jake wetzel, barney williams, cameron baerg, thomas herschmiller	CAN	Rowing	1
james ball	CAN	Athletics	1
james cristy	USA	Swimming	1
james gathers	USA	Athletics	1
james godday, musa audu, saul weigopwa, enefiok udo-obong	NGR	Athletics	1
james juvenal	USA	Rowing	1
james lightbody	USA	Athletics	5
james luvalle	USA	Athletics	1
james magnussen	AUS	Swimming	1
james mcintosh, arthur mckinlay, john mckinlay, john welchli	USA	Rowing	1
james mclane	USA	Swimming	2
james rector	USA	Athletics	1
james soutter, cyril seedhouse, george nicol, ernest henley	GBR	Athletics	1
james thompson, john smith, sizwe ndlovu, matthew brittain	RSA	Rowing	1
james thompson, walter spence, garnet ault, frederik bourne	CAN	Swimming	1
james tomkins, drew ginn	AUS	Rowing	1
james wendell	USA	Athletics	1
james wilson	GBR	Athletics	1
jana henke	GER	Swimming	1
jana sorgers, katrin rutschow-stomporowski, kathrin boron, kerstin k?ppen	GER	Rowing	1
jana thieme, kathrin boron	GER	Rowing	1
jan brz?k-felix, bohumil kudrna	CZE	Canoeing	2
jan brz?k-felix, vladim?r syrov?tka	CZE	Canoeing	1
jane barkman	USA	Swimming	1
jane cederqvist	SWE	Swimming	1
janeene vickers	USA	Athletics	1
janel jorgensen, beth barr, tracey mcfarlane, mary wayte	USA	Swimming	1
jane saville	AUS	Athletics	1
jane swagerty	USA	Swimming	1
janet evans	USA	Swimming	5
janeth busienei	KEN	Athletics	1
jan henne	USA	Swimming	3
janice andrew	AUS	Swimming	1
janice andrew, dawn fraser, marilyn wilson, rosemary lassig	AUS	Swimming	1
jani sievinen	FIN	Swimming	1
janusz kusocieski	POL	Athletics	1
janusz mikolajczak, henryk budzinski	POL	Rowing	1
jaouad gharib	MAR	Athletics	1
jared tallent	AUS	Athletics	3
jarmila kratochv?lov?	CZE	Athletics	1
jason lezak	USA	Swimming	1
jason lezak, gary hall jr., anthony ervin, josh davis, neil walker, scott tucker	USA	Swimming	1
jason lezak, michael phelps, nathan adrian, matt grevers, cullen jones, benjamin wildman-tobriner, garrett weber-gale	USA	Swimming	1
jason read, bryan volpenhein, chris ahrens, wyatt allen, dan beery, pete cipollone, matt deakin, joseph hansen, beau hoopman	USA	Rowing	1
jason richardson	USA	Athletics	1
javier culson	PUR	Athletics	1
jean boiteux	FRA	Swimming	1
jean bouin	FRA	Athletics	1
jean-christophe rolland, michel andrieux	FRA	Rowing	1
jeannette campbell	ARG	Swimming	1
jean stewart	NZL	Swimming	1
jean taris	FRA	Swimming	1
jearl miles, marion jones, monique hennagan, latasha colander-richardson	USA	Athletics	1
jearl miles, natasha kaiser, rochelle stevens, gwen torrence	USA	Athletics	1
jed graef	USA	Swimming	1
jefferson perez	ECU	Athletics	1
jefferson p?rez	ECU	Athletics	1
jeff rouse	USA	Swimming	2
jelisaveta dementyeva	URS	Canoeing	1
jenna johnson	USA	Swimming	1
jennie fletcher	GBR	Swimming	1
jennie fletcher, isabella moore, annie speirs, irene steer	GBR	Swimming	1
jennifer lamy	AUS	Athletics	1
jennifer stoute, phylis smith, sandra douglas, sally gunnell	GBR	Athletics	1
jenny maakal	SAF	Swimming	1
jenny thompson	USA	Swimming	1
jenny thompson, amanda weir, kara lynn joyce, tara kirk, natalie coughlin, haley cope, amanda beard, rachel komisarz	USA	Swimming	1
jens kruppa, stev theloke, torsten spanneberg, thomas rupprath	GER	Swimming	1
jens-peter herold	GDR	Athletics	1
jeremy linn	USA	Swimming	1
jeremy wariner	USA	Athletics	2
jeremy wariner, angella taylor, reggie witherspoon, kerron clement, dave neville, lashawn merritt	USA	Athletics	1
jerry heidenreich	USA	Swimming	2
jerry heidenreich, david edgar, john murphy, mark spitz	USA	Swimming	1
jerzy ustupski, roger verey	POL	Rowing	1
jesse mashburn, tom courtney, lou jones, charles jenkins	USA	Athletics	1
jesse owens	USA	Athletics	2
jessica hardy, allison schmitt, missy franklin, lia neal	USA	Swimming	1
jessicah schipper	AUS	Swimming	2
jessica monroe, heather mcdermid, maria maunder, emma robinson, lesley thompson, tosha tsang, anna van der kamp, theresa luke, alison korn	CAN	Rowing	1
jessica monroe, marnie mcbean, brenda taylor, lesley thompson, kay worthington, kathleen heddle, megan delehanty, shannon crawford, kirsten barnes	CAN	Rowing	1
jevgenij shuklin	LTU	Canoeing	1
jiao liuyang	CHN	Swimming	1
ji li, jiaying pang, yu yang, yanwei xu, yingwen zhu	CHN	Swimming	1
jill sterkel	USA	Swimming	1
jill sterkel, wendy boglioli, shirley babashoff, kim peyton	USA	Swimming	1
jim fifer, duvall hecht	USA	Rowing	1
jim hines	USA	Athletics	1
jim montgomery	USA	Swimming	2
jimmy tremeer	GBR	Athletics	1
jim ryun	USA	Athletics	1
jingyi le	CHN	Swimming	2
jingyi le, yun nian, ying shan, na chao	CHN	Swimming	1
j?nis dalins	LAT	Athletics	1
j?nos parti	HUN	Canoeing	2
joachim b?chner	GER	Athletics	1
joachim b?hmer, hans-ullrich schmied	GDR	Rowing	1
joachim dreifke	GDR	Rowing	1
joachim ehrig, peter funnek?tter, franz held, wolfgang plottke	FRG	Rowing	1
joachim mattern, bernd olbricht	GDR	Canoeing	1
joachim pirsch, willi kaidel	GER	Rowing	1
joan benoit	USA	Athletics	1
joan harrison	SAF	Swimming	1
joanna hayes	USA	Athletics	1
joanne jackson	GBR	Swimming	1
joaquim cruz	BRA	Athletics	2
jocelyn delecour, paul genevay, bernard laidebeur, claude piquemal	FRA	Athletics	1
jochen mei?ner	FRG	Rowing	1
jochen reske, manfred kinder, johannes kaiser, carl kaufmann	GER	Athletics	1
jodie henry	AUS	Swimming	1
jodie henry, sarah ryan, petria thomas, lisbeth lenton, alice mills	AUS	Swimming	1
joe deloach	USA	Athletics	1
joe forshaw	USA	Athletics	1
joe hudepohl, douglas gjertsen, scott jaffe, daniel jorgensen, melvin stewart, jon olsen	USA	Swimming	1
joel lamela, andr?s sim?n, joel isasi, jorge aguilera	CUB	Athletics	1
joel sanchez	MEX	Athletics	1
joel shankle	USA	Athletics	1
johan andersen	DEN	Canoeing	1
johan kenkhuis, pieter van den hoogenband, marcel wouda, mark van der zijden, martijn zuijdweg	NED	Swimming	1
johanna klier-schaller	GDR	Athletics	2
johannes drost	NED	Swimming	1
johannes van dijk, henrikus tromp, hendrik offerhaus, walter middelberg, walter thijssen, ruud leegstra, roelof klein, hermanus brockmann, fran?oise brandt	NED	Rowing	1
john akii-bua	UGA	Athletics	1
john archer, john gregory, kenneth jones, alistair mccorquodale	GBR	Athletics	1
john bray	USA	Athletics	1
john campbell, sebastian earl, robin johnstone, richard lucas, walter james, ewart horsfall, ralph shove, guy nickalls, sidney swann	GBR	Rowing	1
john carlos	USA	Athletics	1
john collier	USA	Athletics	1
john cooper	GBR	Athletics	1
john cooper, robbie brightwell, timothy graham, adrian metcalfe	GBR	Athletics	1
john cornes	GBR	Athletics	1
john cregan	USA	Athletics	1
john daly	GBR	Athletics	1
john davies	AUS	Swimming	1
john davies	NZL	Athletics	1
john devitt	AUS	Swimming	2
john disley	GBR	Athletics	1
john fenning, gordon thomson	GBR	Rowing	1
john ferris	USA	Swimming	2
john garrels	USA	Athletics	1
john hatfield	GBR	Swimming	2
john hatfield, william foster, thomas battersby, henry taylor	GBR	Swimming	1
john hayes	USA	Athletics	1
john hencken	USA	Swimming	4
john hencken, jim montgomery, john naber, matt vogel	USA	Swimming	1
john hoben, james mcloughlin, john wells, joseph ravanack	USA	Rowing	1
john holland	NZL	Athletics	1
john hunter, tony hurt, dick joyce, trevor coker, simon dickie, athol earl, gary robertson, wybo veldman, lindsay wilson	NZL	Rowing	1
john kelly	USA	Rowing	1
john kinsella	USA	Swimming	1
john konrads	AUS	Swimming	2
john konrads, john devitt, david dickson, murray rose	AUS	Swimming	1
john landy	AUS	Athletics	1
john lecky, lorne loomer, william mckerlich, archibald mckinnon, glen mervyn, nelson kuhn, ignace d'hondt, sohen biln, donald arnold	CAN	Rowing	1
john ljunggren	SWE	Athletics	3
john loaring	CAN	Athletics	1
john marshall	AUS	Swimming	2
john mcgough	GBR	Athletics	1
john mclean	USA	Athletics	1
john mockton, doug hamilton, bruce ford, mike hughes	CAN	Rowing	1
john monckton	AUS	Swimming	1
john mulcahy, william varley, john joachim, john buerger	USA	Rowing	1
john murphy	USA	Swimming	1
john mykkanen	USA	Swimming	1
john naber	USA	Swimming	3
john naber, jim montgomery, bruce furniss, mike bruner	USA	Swimming	1
john nelson	USA	Swimming	2
john ngugi	KEN	Athletics	1
john norton	USA	Athletics	1
johnny gray	USA	Athletics	1
johnny weissmuller	USA	Swimming	3
johnny weissmuller, walter laufer, george kojac, austin clapp	USA	Swimming	1
john russell, ted nash, john james, william barry, hugh wardell-yerburgh	GBR	Rowing	1
john schmitt, paul mcdowell	USA	Rowing	1
john sherwood	GBR	Athletics	1
john smith, warren snyder, norman taylor, harold little, arthur bell, ivor campbell, william langford, robert hunter, william wallace	CAN	Rowing	1
john somers-smith, angus gillan, duncan mackinnon, collier cudmore	GBR	Rowing	1
john s?rensen, peer nielsen	DEN	Canoeing	1
john sumegi	AUS	Canoeing	1
john svanberg	SWE	Athletics	1
john terwilliger, andrew sudduth, christopher penny, walter lubsen, robert jaugstetter, charles clapp, thomas darling, earl borchelt, bruce ibbetson	USA	Rowing	1
john treacy	IRL	Athletics	1
john walker	NZL	Athletics	1
john wallace, bruce robertson, michael rascher, derek porter, terrence paul, robert marland, mike forgeron, andrew crosby, darren barber	CAN	Rowing	1
john wood	CAN	Canoeing	1
john woodruff	USA	Athletics	1
jolanda ceplak	SLO	Athletics	1
jolanda de rover	NED	Swimming	2
jo?l bettin, philippe renaud	FRA	Canoeing	1
jonathan smith, philip stekl, alan forney, david clark	USA	Rowing	1
jon drummond, maurice greene, brian lewis, bernard williams iii	USA	Athletics	1
jon drummond, tim harden, mike marsh, dennis mitchell	USA	Athletics	1
jon henricks	AUS	Swimming	1
jon olsen, brad schumacher, joe hudepohl, josh davis, ryan berube	USA	Swimming	1
jon olsen, matt biondi, joe hudepohl, thomas jager, shaun jordan	USA	Swimming	1
jon olsen, pablo morales, melvin stewart, melvin stewart, jeff rouse, nelson diebel, hans dersch, hans dersch, david berkoff, david berkoff, matt biondi, matt biondi	USA	Swimming	1
jon sieben	AUS	Swimming	1
jopie selbach, tini wagner, willie den ouden, rie mastenbroek	NED	Swimming	1
jorge llopart	ESP	Athletics	1
jos? abascal	ESP	Athletics	1
josefa idem	ITA	Canoeing	1
josefa idem, barbara sch?ttpelz	FRG	Canoeing	1
josefa idem guerrini	ITA	Canoeing	3
josef dolezal	CZE	Athletics	1
josef dostal, daniel havel, jan sterba, lukas trefil	CZE	Canoeing	1
josef hasen?hrl	AUT	Rowing	1
josef holecek	CZE	Canoeing	2
josef kloimstein, alfred sageder	AUT	Rowing	1
josef odlozil	CZE	Athletics	1
josef schneider	SUI	Rowing	1
joseph bottom	USA	Swimming	1
joseph de combe	BEL	Swimming	1
joseph guillemot	FRA	Athletics	2
josephine mckim	USA	Swimming	1
joseph keter	KEN	Athletics	1
joseph larran	FRA	Rowing	1
joseph mahmoud	FRA	Athletics	1
joseph mccluskey	USA	Athletics	1
joseph ryan, robert farnam	USA	Rowing	1
joseph verdeur	USA	Swimming	1
josh culbreath	USA	Athletics	1
josia thugwane	RSA	Athletics	1
jos? l?pez, herminio men?ndez, luis miguez, jos? esteban	ESP	Canoeing	1
jos? pedraza	MEX	Athletics	1
josy barthel	LUX	Athletics	1
joyce chepchumba	KEN	Athletics	1
joyce cooper	GBR	Swimming	2
jozef pribilinec	CZE	Athletics	1
j?rgen bertow, hans-ullrich schmied	GDR	Rowing	1
j?rgen eschert	GER	Canoeing	1
j?rgen straub	GDR	Athletics	1
j?rg hoffmann	GER	Swimming	1
j?rg lucke, heinz-j?rgen bothe	GDR	Rowing	1
j?rg pfeifer, alexander thieme, manfred kokot, klaus-dieter kurrat	GDR	Athletics	1
j?rg schmidt	GDR	Canoeing	1
j?rg woithe	GDR	Swimming	1
j?ri jaanson	EST	Rowing	1
j?ri lossmann	EST	Athletics	1
juan carlos zabala	ARG	Athletics	1
juan rodriguez, william jones	URU	Rowing	1
judi brown	USA	Athletics	1
judith amoore	AUS	Athletics	1
judit temes	HUN	Swimming	1
judy davies	AUS	Swimming	1
judy grinham	GBR	Swimming	1
judy playfair, lynette mcclements, janet steinbeck, lynette watson	AUS	Swimming	1
jules de bisschop, oscar decock, prosp?re bruggeman, maurice hemelsoet, oscar charles de somville, frank odberg, marcel lucien van crombrugge, alfred vanlandeghem, maurice verdonck	BEL	Rowing	1
jules ladoum?gue	FRA	Athletics	1
